link,picture,name,price,section,material,keyword,brand
https://www.uniqlo.com/us/en/combination-sunglasses-195494.html?dwvar_195494_color=COL08&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_08_195494?$detail$,COMBINATION SUNGLASSES,14.90,,[],coats,uniqlo
https://www.uniqlo.com/us/en/men-u-lightweight-oversized-coat-195203.html?dwvar_195203_color=COL03&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_03_195203?$detail$,MEN U LIGHTWEIGHT OVERSIZED COAT,99.90,men,['100% Polyester'],coats,uniqlo
https://www.uniqlo.com/us/en/women-u-long-parka-193698.html?dwvar_193698_color=COL31&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_31_193698?$detail$,WOMEN U LONG PARKA,99.90,women,"['79% Polyester', '21% Nylon', '100% Polyester']",coats,uniqlo
https://www.uniqlo.com/us/en/wellington-folding-sunglasses-191335.html?dwvar_191335_color=COL08&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_08_191335?$detail$,WELLINGTON FOLDING SUNGLASSES,14.90,,[],coats,uniqlo
https://www.uniqlo.com/us/en/square-sunglasses-194235.html?dwvar_194235_color=COL09&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_09_194235?$detail$,SQUARE SUNGLASSES,14.90,,[],coats,uniqlo
https://www.uniqlo.com/us/en/kids-light-pocketable-parka-181648.html?dwvar_181648_color=COL45&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_45_181648?$detail$,KIDS LIGHT POCKETABLE PARKA,29.90,,['100% Polyester'],coats,uniqlo
https://www.uniqlo.com/us/en/girls-trench-coat-181166.html?dwvar_181166_color=COL31&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_31_181166?$detail$,GIRLS TRENCH COAT,39.90,girl,"['100% Nylon', '100% Polyester']",coats,uniqlo
https://www.uniqlo.com/us/en/kids-disney-collection-dry-sweat-long-sleeve-bomber-187971.html?dwvar_187971_color=COL03&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_03_187971?$detail$,KIDS DISNEY COLLECTION DRY SWEAT LONG-SLEEVE BOMBER,19.90,,"['87% Polyester', '13% Cotton', '58% Polyester', '39% Cotton', '3% Spandex']",coats,uniqlo
https://www.uniqlo.com/us/en/men-comfort-jacket-172966.html?dwvar_172966_color=COL69&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_69_172966?$detail$,MEN COMFORT JACKET,59.90,men,"['68% Polyester', '32% Cotton']",coats,uniqlo
https://www.uniqlo.com/us/en/women-stretch-tailored-jacket-183430.html?dwvar_183430_color=COL08&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_08_183430?$detail$,WOMEN STRETCH TAILORED JACKET,79.90,women,"['69% Polyester', '29% Rayon', '2% Spandex', '100% Polyester']",coats,uniqlo
https://www.uniqlo.com/us/en/women-idlf-block-tech-coat-194601.html?dwvar_194601_color=COL19&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_19_194601?$detail$,WOMEN IDLF BLOCK TECH COAT,99.90,women,"['100% Nylon', '100% Nylon']",coats,uniqlo
https://www.uniqlo.com/us/en/women-ultra-light-down-compact-coat-190714.html?dwvar_190714_color=COL07&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_07_190714?$detail$,WOMEN ULTRA LIGHT DOWN COMPACT COAT,89.90,women,"['100% Nylon', '90% Down) Lining: 100% Polyester [07 Gray] Shell: 65% Nylon', '35% Polyester', '90% Down) Lining: 100% Polyester']",coats,uniqlo
https://www.uniqlo.com/us/en/brow-line-sunglasses-191337.html?dwvar_191337_color=COL08&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_08_191337?$detail$,BROW LINE SUNGLASSES,14.90,,[],coats,uniqlo
